Turgenev	Before	Sun
('again', 0.045710260090391294)	('best', 1.0823457982024702)	('ten', 0.4034091383606372)
('brother', 0.04326018023317263)	('cried', 0.9607713842272901)	('forward', 0.4015525925012862)
('nature', 0.04256927015911622)	('drew', 0.8896002890543424)	('bit', 0.4000929216375966)
('sure', 0.037865425890160335)	('use', 0.8368168377331281)	('myself', 0.3970436378189938)
('thou', 0.03553780312781794)	('glad', 0.8366039195531695)	('past', 0.3951314821433518)
('king', 0.03494970830853897)	('afraid', 0.8121178137255792)	('sound', 0.37332426779565575)
('de', 0.03226758399038754)	('sound', 0.8018196096497826)	('question', 0.3722925976991674)
('child', 0.03220519911419777)	('added', 0.7988179327940456)	('answer', 0.36401173904557604)
('quite', 0.03194170473611486)	('king', 0.7938125003200491)	('close', 0.35023680774781235)
('enough', 0.02943625392405557)	('answer', 0.7818183163737494)	('beautiful', 0.3501530591089439)
('both', 0.028237919553836772)	('returned', 0.7127706790442598)	('returned', 0.3318634124907907)
('such', 0.02808906017389332)	('care', 0.6901722918057894)	('times', 0.32315153222851845)
('first', 0.027825329812515297)	('fire', 0.6780805772847963)	('rest', 0.32135395057012844)
('always', 0.02770493263161712)	('red', 0.668573310512078)	('red', 0.311285279894385)
('head', 0.022607558451787444)	('suppose', 0.6436531379113297)	('high', 0.30235676260607125)
('good', 0.022417702844937215)	('till', 0.5918247024320714)	('dark', 0.2761342811981149)
('back', 0.021944866199123197)	('love', 0.5716348298154381)	('evening', 0.2631626737051037)
('there', 0.020961418904656807)	('everything', 0.557862833576247)	('best', 0.2519681158659421)
('once', 0.02028426871800201)	('“', 0.4928962305832337)	('yes', 0.24590363230680348)
('well', 0.020059664465445225)	('right', 0.44957711562563574)	('half', 0.22565440218321037)
('father', 0.015615752127269275)	('head', 0.44923927875348424)	('cried', 0.22366581536483937)
('upon', 0.012490965165373439)	('name', 0.44730307018491944)	('something', 0.21652922737908809)
('over', 0.012418965263509316)	('dear', 0.41594239527209204)	('behind', 0.21547777165795204)
('never', 0.010872727356010215)	('morning', 0.37506524203025327)	('end', 0.20100036490264964)
('up', 0.007397020963328123)	('better', 0.3502271096293014)	('light', 0.19864007586730253)
('could', 0.0064869168544178695)	('hands', 0.31734669590276865)	('dear', 0.19366125284457497)
('all', 0.0033709961270807234)	('herself', 0.31061768845103205)	('quite', 0.14659334991709633)
('my', 0.002378222418061589)	('door', 0.2725017720674494)	('home', 0.1314262719049608)
('a', 0.0013270830595665686)	('could', 0.2161471497022841)	('nothing', 0.10482425083085757)
('i', 0.0008764173576640725)	('face', 0.18467674569286)	('right', 0.10466072760550925)
