Turgenev	Before	Sun
('happiness', 0.035091433987746515)	('wind', 0.47496867944146054)	('listen', 0.34654446910599523)
('understand', 0.03488401378501289)	('’', 0.41904660994667103)	('besides', 0.32890774118265975)
('led', 0.03374271239448969)	('itself', 0.41648544873904003)	('her', 0.3180000541102764)
('smile', 0.032172231813784646)	('which', 0.37826994992849544)	('back', 0.3002750466310791)
('mine', 0.03122219800891509)	('her', 0.3668499981857558)	('shall', 0.2778324643834235)
('forth', 0.030847293016807248)	('whether', 0.35571924137506594)	("'em", 0.25231178505107127)
('ye', 0.027987937617439132)	("'s", 0.32655335260051077)	('well', 0.2214511729080242)
('ask', 0.026932243318475376)	('wo', 0.3128760852008248)	('may', 0.18827611707620984)
('enough', 0.026566327006694496)	('herself', 0.2803216886613854)	('answer', 0.1715493252993039)
('answer', 0.025048978223466283)	('de', 0.2694380042641488)	('wish', 0.16694289653641567)
('open', 0.022783719890621553)	('yet', 0.23269148165087183)	('whose', 0.16002853026155966)
('therefore', 0.02084030091809433)	('were', 0.22469458108685117)	('till', 0.12986025815894028)
('boy', 0.020526754589906944)	('“', 0.2224108748940511)	('which', 0.11319601253019111)
('together', 0.019682190739015365)	('round', 0.2005850104995824)	('away', 0.11305954679103065)
('nature', 0.01920946113593643)	('next', 0.19418527814443398)	('next', 0.09442760037118463)
('love', 0.018289472872224016)	('such', 0.18004345200931113)	('heard', 0.0646566421739262)
('mother', 0.01822077820722807)	('well', 0.17077590703426795)	('yet', 0.05657611753339081)
('one', 0.015735189824217535)	('back', 0.16840894713568721)	('mother', 0.05427789232255622)
('find', 0.014489093263952077)	('away', 0.1550005821334665)	('father', 0.0526974849650656)
('father', 0.014093273503443284)	("'", 0.14931382089752027)	('were', 0.04370541435722755)
('heard', 0.010621445911560369)	('shall', 0.14283687757015223)	('too', 0.03437972139575635)
('were', 0.010360280164051668)	('”', 0.13677152334183684)	('way', 0.0326258219934528)
('mind', 0.00940815573465664)	('so', 0.11390014575155177)	("'", 0.0242025656190041)
('was', 0.006193016531783129)	('upon', 0.06946638940786043)	('are', 0.018989340049760477)
('are', 0.004767090285737689)	('was', 0.05016826147674846)	('was', 0.013553117332383586)
('be', 0.0010702145439074526)	('are', 0.03905055582104186)	('one', 0.011402189843614059)
