Principal Component 1,Principal Component 2,target
-1.8773676441280889,-2.0776504223742607,Turgenev's Works
-2.9146799612661067,-2.6886620785667983,Turgenev's Works
1.0081150604754252,-1.662746485839107,Turgenev's Works
-3.732030823648957,0.005890420458097898,Turgenev's Works
1.562163096728924,0.003763662734240518,Turgenev's Works
-1.4456584472211054,0.20997086167980963,Turgenev's Works
0.45139851891053734,-0.7798449279900668,Turgenev's Works
1.8026035600453973,-0.44989032921822375,Turgenev's Works
-3.1279629518243066,-1.2123735926908246,Turgenev's Works
2.758410149868404,-0.6676013772474931,Turgenev's Works
3.020270649079429,-1.5743741638446527,Turgenev's Works
1.175549959230863,-1.1145627461110863,Turgenev's Works
0.9478803361973086,-2.1851732989141848,Turgenev's Works
-0.7477670922752834,1.961058368960257,Turgenev's Works
0.626262638863647,0.8360199489634941,Turgenev's Works
4.332080809592026,-3.2364478384545654,Turgenev's Works
-1.39864849261968,-2.919437453342224,Turgenev's Works
-1.6562692872569522,1.5912953345145096,Turgenev's Works
-5.162799198368975,-0.839251715828256,Turgenev's Works
-2.5304715172778547,0.7386023677809478,Turgenev's Works
4.339993481430771,-2.127780765641637,Turgenev's Works
2.236639139912625,-1.9169950372764402,Turgenev's Works
-1.5457409103904771,-0.8931965149178323,Turgenev's Works
-1.1915177425203698,1.168281786335862,Turgenev's Works
1.618471633905686,-0.7634583894786531,Turgenev's Works
-0.03302252081483066,-2.87834879393146,Turgenev's Works
-2.595133788740551,0.7385332028879313,Turgenev's Works
-3.035343103312603,-0.5211657521627517,Turgenev's Works
1.5301435505271295,1.466853236340469,Turgenev's Works
2.1021194420271723,-2.1727361746430622,Turgenev's Works
4.30145413540421,-2.7335346782762047,Turgenev's Works
-1.259337954193449,-0.8012029519804839,Turgenev's Works
-3.4024614770461428,-1.727563325994331,Turgenev's Works
-2.3336622088040833,0.7169329948386388,Turgenev's Works
3.886866596970086,-1.3387408701786083,Turgenev's Works
1.1596498304258205,-0.34124838793420664,Turgenev's Works
-4.904406580342388,-0.720082008260527,Turgenev's Works
-2.256240882278604,0.4915883027370801,Turgenev's Works
-0.7039601072481825,-0.7193806755627307,Turgenev's Works
0.22650736975281768,-0.990719617814702,Turgenev's Works
-2.839703485710405,-0.41340402454125724,Turgenev's Works
2.8423505078287707,-1.6081008123271805,Turgenev's Works
-1.996470902546064,-2.3130625273449423,Turgenev's Works
3.3507913962778204,-1.7584684105587531,Turgenev's Works
-5.546068498783272,0.3757279590071951,Turgenev's Works
1.1535737963249262,-1.8618826964069046,Turgenev's Works
1.7713970038382119,-0.7330856212199583,Turgenev's Works
0.624702998753211,1.328703201170838,Turgenev's Works
2.1973428089467344,-0.6128172864830266,Turgenev's Works
-3.758896614927891,1.865579719091215,Turgenev's Works
-3.2574909356434545,-0.06349259382778229,Turgenev's Works
-0.6237575847524409,-0.1527184204086079,Turgenev's Works
-2.008564560649505,-1.2532923596329966,Turgenev's Works
-4.062710216474202,1.465821259683458,Turgenev's Works
-1.9573020560010046,1.5882244450136485,Turgenev's Works
0.20393486600684702,-1.3302197524107975,Turgenev's Works
-0.7421806067704313,-1.238177562061069,Turgenev's Works
1.286579168543254,-4.188636128687628,Turgenev's Works
-1.927448626844618,0.3844233257284072,Turgenev's Works
1.4547517796688316,-3.3137237861427704,Turgenev's Works
-1.404866038983395,-0.09614270961607706,Turgenev's Works
-1.4976097664563364,-1.9520093503941416,Turgenev's Works
0.9728970419400133,0.7259515848638806,Turgenev's Works
-0.24479378450561715,-0.9950208830105038,Turgenev's Works
2.546740779498775,-2.5537738595454527,Turgenev's Works
-0.4389689075619884,0.4023861077151213,Turgenev's Works
-2.8317762383450833,-0.892410581977777,Turgenev's Works
-4.269284279899879,0.665936531112695,Turgenev's Works
-0.9062754103182598,-1.6596041161091883,Turgenev's Works
-5.460508552416742,-0.7042065454680559,Turgenev's Works
-2.5190030626981654,-2.0099310758163793,Turgenev's Works
0.3704415418027911,-1.8469433465826202,Turgenev's Works
2.8798043831745215,-3.631257753251409,Turgenev's Works
2.0066989976037357,0.058563171061470735,Turgenev's Works
1.066100862304639,-2.0051014104214127,Turgenev's Works
1.2890640658923562,0.01095219636947311,Turgenev's Works
0.21060076220093707,-3.2542032957336815,Turgenev's Works
-4.587853574753364,2.2342591017738735,Turgenev's Works
-1.3453156525052345,-1.4529901913057,Turgenev's Works
-0.6752649282447228,-0.16592757139127953,Turgenev's Works
0.09733183591125763,-1.9153108373014185,Turgenev's Works
-2.0903248779903043,-0.9248274680752391,Turgenev's Works
1.2307066035390974,-1.7541052331557778,Turgenev's Works
2.301277074967861,-0.7059227864885044,Turgenev's Works
-3.138350054043253,0.6010632045108155,Turgenev's Works
1.7182483039117629,0.19186901550178642,Turgenev's Works
-1.7966441099667487,0.3406152754831459,Turgenev's Works
-1.6435710291720096,0.7561454943968624,Turgenev's Works
-1.113441051092358,-1.0238985384170554,Turgenev's Works
-2.0920942196696832,1.6619703136333281,Turgenev's Works
-4.149235822968766,2.8334955868183602,Turgenev's Works
-0.9696979788663155,0.33964987440601174,Turgenev's Works
1.6916169951139988,-4.1100647241056,Turgenev's Works
-3.514620048574539,0.8015323594002028,Turgenev's Works
3.719998952277267,3.9413309789188897,The Sun Also Rises
3.5141968811501063,3.644081295856267,The Sun Also Rises
4.066637576776935,1.9369890456626027,The Sun Also Rises
2.3365130159908145,3.060608349424397,The Sun Also Rises
2.5063130820189077,3.8469874656411047,The Sun Also Rises
1.7777819297128283,2.984862807815645,The Sun Also Rises
0.3714117157314203,5.2410130115535996,The Sun Also Rises
3.1237748172959066,1.5429987083982988,The Sun Also Rises
5.63333891057494,3.2444620187025617,The Sun Also Rises
1.6248067639270747,5.192771799064506,The Sun Also Rises
1.2042250663489513,4.355528244212517,The Sun Also Rises
4.6824547664113965,2.358021094259573,The Sun Also Rises
4.83773298109881,3.316893684814986,The Sun Also Rises
8.010895753966084,-2.6933847885564863,The Sun Also Rises
1.1640714707447284,2.710717874356563,Hemingway's Prior Works
0.48866879343139014,2.9866918752245812,Hemingway's Prior Works
0.6401547502599394,3.2245403115085916,Hemingway's Prior Works
0.9310627104409005,4.87925499944882,Hemingway's Prior Works
-0.06097834254885903,4.555766336973848,Hemingway's Prior Works
0.03373822359676566,3.7488636713212964,Hemingway's Prior Works
0.30424281711012546,3.908245635121026,Hemingway's Prior Works
