PRP,8452,0.12127647362681512
NN,8306,0.11918154164036045
DT,7604,0.1091086494863112
IN,6859,0.09841875681570338
VBD,6790,0.09742868621936521
RB,4557,0.06538770590598635
NNP,3581,0.051383229065028985
JJ,3419,0.04905871549101762
VB,3222,0.046231992194226024
CC,2563,0.03677610055673535
NNS,2278,0.03268667852838202
VBP,1895,0.027191069276244047
TO,1545,0.022168972048441715
VBG,1233,0.017692131091086496
VBN,1125,0.01614245537507892
PRP$,1017,0.014592779659071343
VBZ,990,0.014205360730069448
MD,956,0.013717499856511509
RP,781,0.011206451242610342
CD,514,0.007375308500258279
WRB,485,0.0069591918728118
WP,339,0.0048642598863571146
UH,250,0.003587212305573093
EX,247,0.003544165757906216
POS,228,0.003271537622682661
WDT,124,0.001779257303564254
PDT,96,0.0013774895253400676
JJR,93,0.0013344429776731906
JJS,43,0.000617000516558572
RBR,35,0.000502209722780233
NNPS,29,0.0004161166274464788
FW,28,0.0004017677782241864
RBS,7,0.0001004419445560466
WP$,1,1.4348849222292372e-05
