NN,353687,0.14321978992039003
IN,309083,0.12515812661467318
DT,251104,0.10168047490625784
PRP,198678,0.08045142010252922
JJ,172239,0.0697453776816735
VBD,157492,0.06377382022562907
RB,138778,0.05619589073268706
NNP,137974,0.05587032402795662
CC,95594,0.03870923329850903
NNS,92232,0.037347846157584005
VB,89821,0.036371550977105045
PRP$,71896,0.029113114183208208
TO,64427,0.026088664285656437
VBN,58105,0.023528673356171596
VBP,49458,0.020027211545470006
VBZ,43825,0.017746219943795202
VBG,42235,0.01710237534115665
MD,33217,0.013450683123172737
CD,17957,0.0072713946726920805
WDT,15439,0.006251771584991537
WP,14830,0.006005166954169603
WRB,13537,0.005481587664099387
RP,11829,0.004789960883403387
EX,6740,0.0027292532212476817
JJR,5892,0.0023858694331737895
POS,5883,0.0023822250297626277
JJS,4852,0.00196473837232845
RBR,4153,0.0016816897073948995
PDT,3736,0.0015128323493444123
RBS,1563,0.0006329113924050633
NNPS,1285,0.0005203398203714052
FW,920,0.000372539015363185
WP$,768,0.00031098909108578926
UH,311,0.00012593438454125059
