wheeling
darting
catching
lay
spread
appeared
coming
going
led
came
eddied
streaming
lost
barren
dashing
came
splashing
adding
saving
kept
following
take
lifted
seen
sitting
shocked
turned
become
inhabited
added
work
expect
seemed
stared
seen
built
seen
replaced
applying
speaking
left
bored
nod
shake
come
swaying
allowing
shut
carry
attached
indulged
got
made
look
sitting
stretched
holding
printed
filled
knew
instructed
make
caused
billeted
dropped
speak
speak
hastened
look
insisted
learn
desired
discovered
considered
dated
composed
belonged
allowing
lapse
paid
involved
intended
afforded
reflected
found
conducted
assailed
enabled
add
comfort
boasted
persisted
rewarded
helping
found
Spare
got
went
confronted
say
knocked
Spoiled
ruined
say
go
read
ruined
say
Ruined
sounds
believe
asked
see
Stop
go
knew
gave
read
printed
went
committed
troops
Give
see
done
knows
done
broke
called
replied
prove
insulted
came
complain
listen
Deposed
sealed
say
asked
say
kept
believe
sir
know
remember
covering
received
held
headed
desired
given
Passed
please
take
make
came
worked
spotted
pinned
wire
take
make
like
put
said
felt
turned
found
imagine
put
seen
hauled
marched
kept
made
go
need
know
go
get
know
see
insist
try
says
see
come
turned
go
stepping
saluted
shelling
gave
Shelling
taking
pulled
hit
passed
followed
said
felt
gone
rent
followed
went
reassured
billeted
noticed
coming
stare
dare
portray
asked
finished
beginning
teach
petered
cultivated
fallen
found
driven
succeeded
cutting
quieting
leaned
needed
see
made
took
knew
stand
look
sent
saw
tied
made
paybook
remains
loved
pushed
showed
go
lay
waiting
given
belonged
happened
close
opened
left
lie
seen
seemed
swim
disappeared
hut
shoved
trampled
desecrated
got
wanted
told
fetch
gave
put
walking
closed
spurred
raised
exhorting
threatening
went
see
send
find
filled
go
start
trying
boring
going
slack
got
stood
hauled
return
wanted
shelled
bombed
live
going
corrugated
atmosphere
become
showed
bowled
surveyed
exhibits
thinks
think
happened
settle
got
become
suggest
go
see
get
Let
see
see
hate
knew
say
scraped
surrounding
lived
held
refaced
found
knows
used
combine
added
forget
came
got
complain
found
seated
functioned
rationed
kept
facilitated
sat
said
greeted
say
made
leading
Allow
present
Mister
left
arrange
put
arranges
cut
believe
arrange
put
insulted
wrote
fidgeted
found
go
trained
deal
turned
write
injured
spoke
understood
gave
write
stopped
comes
tell
demand
go
make
put
take
arrive
demand
says
march
hold
sing
broke
go
make
indicate
believe
indicate
cried
waited
drag
lead
said
raised
opened
stepped
closed
Produce
found
faded
produced
printed
said
growled
made
grasped
send
sleep
standing
produces
treat
followed
drew
thought
trying
sign
wanted
say
upset
hurt
reduced
said
settled
made
told
drive
seemed
know
jolted
said
ask
believe
said
pronounce
got
knocked
knocked
seemed
deserted
enveloped
sort
diagnosed
got
tell
distributed
recrossed
skirting
entered
gave
called
shouted
paid
buzzed
reply
plunged
work
show
went
stood
took
employed
raking
travelling
shook
work
began
speak
offizer
billet
go
stopping
held
stopped
reached
Throwing
