settled
began
follows
going
tell
happened
see
interrupt
living
left
stationed
lodged
stayed
made
living
became
reads
jeered
hold
enjoyed
met
leave
came
talked
corresponded
behaved
devoured
applied
know
survived
leading
mingled
pose
promised
tell
belonged
possess
associated
growing
laughed
smiled
tired
showed
imprinted
drooped
made
look
wore
mingled
chasing
catch
give
stuck
taken
aggrieved
spoke
use
recourse
writing
regarded
used
say
lived
left
drowned
ferried
educated
obtained
passed
strained
liked
visited
went
see
felt
became
respected
respected
distinguishes
discerned
expected
make
distinguish
become
considered
regarded
marked
strengthen
receiving
walking
promoted
come
melting
gone
choked
thawing
talking
laughing
stopped
saw
moving
Perched
projecting
whining
trembling
drowned
said
carried
gangways
led
saying
ran
sinking
leaping
reached
seized
getting
put
exposed
dumbfoundered
spoke
called
drive
replied
escaping
told
drive
take
cried
waved
looked
occurred
sat
took
tell
beforehand
win
cried
reached
approached
took
cut
saying
turned
said
cut
turned
said
turned
expected
Do
observed
go
answered
walked
happened
guessed
pretend
explain
saw
present
tried
succeeded
guess
guessed
strengthened
occurred
succeeded
knowing
taken
looked
clinched
clutched
gave
suited
acquire
keep
remain
hold
owing
made
say
grew
liked
saw
aroused
seemed
weighed
suspect
need
say
express
felt
used
talk
ventured
leave
placed
justify
look
put
saying
oppress
chattered
well
heard
lasted
knew
read
confined
picking
believed
believed
mentioned
understand
betray
inspire
knew
remember
came
stay
find
ordered
want
go
sauntered
killed
spent
expressed
set
smoked
talked
used
hang
selling
play
used
tell
cherished
stretched
sloping
gleamed
hollows
growing
seen
coming
left
fell
descended
growing
passed
rose
soaked
shimmering
shifting
confused
looked
looked
looked
looked
became
seemed
filtered
worked
put
speak
talked
according
taken
sleeping
saw
recognised
noticed
told
heard
rushing
saved
stooping
pick
broke
promised
show
saved
mounted
talked
added
believed
know
lose
imagine
brought
glancing
know
said
thought
pondered
heaved
dropping
informed
made
looked
sat
facing
fixed
let
giving
told
went
pray
Is
strange
want
bothering
thought
add
begun
noticing
fretting
worrying
struck
spoken
beginning
assail
told
sent
returned
Knowing
mortified
fancied
saw
getting
brought
shrugged
Let
go
shrugging
turning
side
putting
constricting
expressed
seemed
felt
constricted
went
lay
facing
turning
side
get
sleep
excited
fevered
go
sleep
disappeared
lay
thought
thought
happens
Turning
side
stretched
hit
emitted
struck
tapped
repeated
knocked
raised
said
hear
knocking
pretended
took
play
sleep
let
waited
knocked
sat
listened
tapped
lying
facing
see
put
cried
answer
repeated
said
waking
Do
hear
keeps
knocking
wants
come
suppose
muttered
let
find
made
pretending
passed
tapped
sat
listened
see
made
turned
make
came
seemed
float
round
glide
hit
sounding
cried
asked
yawning
Do
mean
say
hear
knocking
answered
pretended
snored
subsided
shouted
Come
answered
jumped
opened
thrusting
cried
knocking
opened
repeated
neighed
went
turned
sat
put
threw
unhooking
went
heard
walk
asking
goes
knocking
stood
lying
uttering
came
lay
taking
began
stir
ask
knocking
propped
Seeing
acted
pretended
wake
looking
assumed
Have
asked
answered
hear
met
know
care
answer
felt
bring
acknowledge
Do
know
began
convinced
frowned
think
say
heard
knocking
heard
bit
hesitating
called
brought
turned
called
called
looked
hitherto
believed
know
swear
cried
repeated
hear
come
dressed
went
broken
slope
shrouded
see
paces
went
said
bowed
keep
strained
heard
Looking
stood
going
fancied
heard
glanced
seemed
heard
held
bowed
sounded
tell
uttered
started
stared
asked
doubt
Wait
answered
proves
look
jumped
went
judge
came
felt
crumbling
stretched
vanishing
stirring
seemed
went
cried
flew
flew
started
looked
left
went
call
said
come
passed
crossed
want
give
went
called
doubt
forced
knows
appeared
explained
agitated
walked
stopping
looking
stood
stood
deadens
seemed
stirred
Exclaiming
Stop
rushed
heard
scurrying
whisked
tell
tried
clutch
succeed
stumbled
fell
stung
getting
leaning
felt
wear
led
went
found
sitting
burning
writing
Seeing
put
began
filling
Look
began
brought
showed
told
happened
startled
added
heard
stolen
smiled
lighted
sat
believe
said
heard
came
stopped
began
beg
jest
changed
looked
kept
shifting
thought
began
reveal
hear
died
died
hidden
seems
told
mentioned
telling
describing
happened
impressed
made
seemed
know
become
shaking
came
described
thought
affected
love
heard
gone
become
told
follows
adopted
working
given
treated
called
saw
ended
falling
giving
discovered
incensed
turned
girl
moved
adopted
made
promised
marry
keep
forced
speak
wanted
know
wrung
said
know
left
passed
deceived
added
put
calling
follow
_recognised_
marry
asked
ceased
love
love
stared
remembered
asked
married
suggested
answered
happened
loved
marry
Was
marry
asked
strayed
began
hesitating
obliged
consider
cried
want
see
go
congratulate
reckoning
got
spoke
winced
flushed
flushed
Do
lecture
please
said
justify
ruined
pay
found
say
sat
looked
looked
noticed
stood
curled
heard
wounded
laid
seeing
blamed
thought
blame
began
guessing
thinking
leaned
began
biting
think
first
make
tell
flashed
written
observed
proves
waved
called
turned
knocking
help
excuse
see
getting
cast
muttering
lay
turned
lay
fell
remember
wondered
hinting
refused
marry
cast
wanted
kill
resist
fell
opened
said
gone
spent
return
dinner
supper
expect
evening
came
went
bed
awakened
knocking
startled
repeated
distinct
got
opened
saw
Wrapped
pulled
stood
cried
gave
expecting
Is
locked
shook
intend
come
pronounced
want
ask
give
gave
sealed
astonished
took
walked
Stop
began
going
Have
come
Do
promise
deliver
said
moved
blurred
Do
promise
promise
moved
became
heard
remember
evil
forget
vanished
thought
straining
felt
clutched
flung
ran
go
enveloped
round
stood
turned
came
overgrown
flowed
encircled
stood
penetrate
made
listened
calling
cried
died
seemed
let
go
repeated
answered
went
struck
fell
stumbled
lying
cried
heard
want
turned
stood
hanging
looked
came
cried
gripped
beginning
finding
ashamed
frightening
want
repeated
want
want
come
want
insist
insist
explain
happened
found
expected
answered
moving
mean
say
taken
answered
buried
leave
poisoned
uttered
stood
clasped
Is
come
stopped
folded
standing
began
Let
go
Let
said
find
make
go
answered
follow
set
walked
appear
gleamed
stepped
get
learn
reached
impressed
said
confessed
taken
confined
observing
guided
showed
knew
sounded
know
added
saw
smile
spoke
come
know
remember
sprang
emerged
began
barking
scenting
knocked
shouted
open
creaked
opened
crossed
come
said
looked
vanished
sunk
went
dazed
succeeded
overcome
blurted
raving
galloped
came
running
get
brought
given
go
chosen
let
go
reproached
looked
intending
say
shifted
said
set
asked
seem
depressed
looked
began
make
told
get
going
curled
Curled
Curled
got
confess
expected
Do
know
asked
know
Is
et
heaved
bring
marry
sorry
give
inquired
assumed
died
began
think
survive
heaved
say
knowing
took
given
turned
written
underlined
written
began
feel
fancy
find
answered
see
take
light
repeated
lighted
set
describe
wandered
lost
dissipate
surrounded
lost
kept
calling
shouted
bewildered
wandered
penetrated
succeeded
reaching
handicapped
made
getting
separated
go
went
ceased
hear
seemed
found
wandered
shouting
heard
relieved
rushed
came
loomed
made
saw
answered
asked
calling
asked
calling
met
find
saw
go
fancy
said
waving
Do
know
Let
light
seem
fancied
say
asked
said
said
shoot
stood
say
told
repeated
sauntered
recover
told
shouted
seemed
caught
recognised
called
came
asked
Have
found
found
Is
talking
lifted
sitting
put
