NN,4487,0.14161722004797375
DT,3661,0.11554727938391617
IN,3457,0.10910869839666709
PRP,2902,0.09159197071076884
VBD,2846,0.08982451710642596
NNP,2153,0.06795227875268274
JJ,1806,0.057000378740058075
RB,1775,0.05602196692336826
CC,1149,0.03626436056053529
VB,1077,0.033991920212094434
NNS,962,0.03036232798889029
VBG,738,0.023292513571518746
PRP$,689,0.021745991667718723
TO,608,0.01918949627572276
VBN,605,0.019094811261204395
VBP,534,0.016853932584269662
MD,442,0.01395025880570635
VBZ,336,0.010604721626057316
RP,309,0.009752556495391996
CD,251,0.007921979548036863
WRB,199,0.00628077262971847
WP,181,0.005712662542608256
EX,122,0.0038505239237470014
WDT,98,0.0030930438076000504
NNPS,60,0.0018937002903673778
JJR,43,0.0013571518747632874
UH,41,0.0012940285317510414
JJS,38,0.0011993435172326726
PDT,37,0.0011677818457265497
POS,33,0.001041535159702058
RBR,27,0.00085216513066532
FW,14,0.0004418634010857215
RBS,4,0.00012624668602449185
