INTRODUCTION
novel
character
movement
man
effect
story
portrait
travesty
portraits
backwoodsmen
aristocrats
ire
sides
figures
nobility
nonchalance
narrowness
mind
sense
fitness
care
choice
representatives
class
pick
weaker
kind
la
crême
mauvaise
que
sera
le
lait
criticism
side
revolutionaries
incompatibles
artistry
intimate
irony
qualities
case
whereas
effects
art
party
youth
ideas
exception
ideas
art
truth
rest
iconoclast
opinions
child
years
novel
exponent
movement
period
cast
lineaments
people
group
time
canvas
pictures
country-house
gallery
thing
history
history
instinct
anticipations
saga
pervading
realities
document
generation
title
sense
fable
coil
recoil
generations
power
understanding
aristocrat
training
powers
sense
caste
privilege
play
nature
foibles
pride
prejudices
susceptibilities
protagonist
revolt
order
habit
age
house
father
inn
probation
parallel
pass
extravagance
type
spirit
revolution
room
_Fathers
essay
writer
essentials
event
novel
record
writer
years
spring
house
sea-brink
time
idea
novel
home
environment
vista
provinces
remove
nook
liberation
serf
place
ferment
ideas
generation
wisdom
event
novelist
artist
moment
permanent
art
book
tragi-comedy
age
youth
order
fathers
sons
following
list
works
Experiences
version
Annals
version
Tales
Fathers
version
tale
versions
Man
tale
version
translation
WORKS
vols.
Novels
Stories
Introduction
LIFE
work
Reformers
/
]
forty
hatless
clad
jacket
pair
tweed
breeches
verandah
posting-house
day
person
servant
fellow
eyes
chin
tuft
down
road
manner
servant
everything
turquoise
ear-ring
dyed
hair
mincing
gait
generation
_barin_
servant
_barin_
bench
knees
eyes
reader
personality
name
fifteen
versts
posting-house
property
souls
peasantry
allotments
farm
property
_desiatini_
]
father
generals
life
service
commander
brigade
division
provinces
rank
figure
elder
brother
year
education
circle
governors
aides-de-camp
staff
officers
mother
family
maidenhood
type
lady
mobcaps
silk
dresses
cross
church
tone
practice
sons
hand
morning
night
life
son
bravery
coward
brother
example
army
fact
day
news
commission
leg
months
bed
feet
man
father
hands
mischance
son
education
whence
student
period
brother
commission
regiments
father
men
establishment
supervision
uncle
_tchinovnik_
]
father
division
wife
intervals
sons
sheets
foolscap
calligraphy
bower
flourishes
signature
year
university
degree
year
incompetence
review
quarters
point
house
member
stroke
end
career
afterwards
life
capital
existence
parents'
lifetime
vexation
love
daughter
_tchinovnik_
landlord
maiden
type
Science
article
newspaper
hand
term
mourning
father
influence
felicity
villa
Thence
while
couple
way
spotless
vestibule
drawing-room
thence
country
time
son
existence
husband
wife
comfort
tranquillity
piano
duets
poultry-yard
management
estate
existence
calm
comfort
fat
years
fashion
wife
blow
husband
head
grey
weeks
distraction
thoughts
year
home
period
inaction
subject
son
reason
winters
capital
part
time
son
acquaintances
winter
circumstances
spending
bent
son
home-coming
elevation
latter
footsteps
dignity
graduate
sense
decency
disinclination
master
eye
servant
entrance
gates
pipe
head
bent
eyes
steps
verandah
stout
hen
way
pair
legs
untidy
cat
balustrade
disapproval
sun
beat
interior
smell
rye
straw
reverie
son
graduate
words
mind
something
thought
memory
wife
reflection
blue
pigeon
roadway
drink
pool
well
instant
spectacle
bird
eye
sound
wheels
servant
gates
sprang
feet
eyes
road
view
_tarantass_
stagehorses
_tarantass_
band
student
cap
outlines
face
cry
arms
moments
lips
cheek
graduate
squire
acres
servant
species
carriage
rub
Papa
voice
travelling
dust
father
caresses
loving
smile
collar
son
cloak
couple
pats
jacket
son
embrace
way
inn
yard
way
way
horses
excitement
son
times
loss
word
Papa
friend
comrade
letters
kind
visit
round
man
clad
coat
belt
_tarantass_
bare
hand
pause
stranger
greeting
kindness
visit
name
accents
collar
coat
face
forehead
nose
face
eyes
whiskers
instant
features
smile
self-assurance
intellect
Evgenii
whilst
time
hands
lips
twitch
reply
cap
movement
fact
convolutions
skull
means
mass
hair
son
horses
home
horses
father
fellow
servant
hands
_barin_
bow
yard
_koliaska_
horses
_tarantass_
water
bowl
landlord
pipe
ostler
stagehorses
_koliaska_
difficulty
friend
_tarantass_
ceremony
coachman
horses
ostler
bestir
ostler
hands
slits
blouse
cap
side
reins
back
shafts-horse
fellows
hand
glassful
_vodka_
horses
father
son
_koliaska_
box
vehicle
_tarantass_
head
leather
cushion
back
cortège
graduate
home
knee
shoulder
reason
question
genuine
delight
return
instinct
conversation
prosaic
uncle
matter
fact
moment
mind
