INTRODUCTION
brother
s
work
history
experiences
friendships
ideals
raptures
disappointments
sorrows
soars
image
hopes
aims
brother
figure
mind
youth
child
dreamt
periods
life
haunter
dreams
names
end
note
subject
honour
creature
fancy
Persians
view
history
series
evolutions
prophet
prophet
dynasty
years
views
personality
conceptions
brother
s
mind
writings
years
care
passages
thoughts
doctrines
instance
ideal
writings
years
Philologists
observations
praise
nation
whole
number
individuals
question
relations
people
rearing
man
conditions
development
individual
means
goodness
people
struggles
instincts
rearing
men
notion
form
youth
Educator
men
nothing
duty
ideals
days
types
men
ideal
humanity
poet
veil
heights
man
worth
ideal
light
valuations
poet
cries
emphasis
hath
man
found
phrase
rearing
word
rearing
case
act
modifying
means
values
values
laws
guides
conduct
opinion
mankind
doctrine
conjunction
ideas
author
s
Order
product
resentment
ban
fact
qualities
strength
consequence
forces
life
table
valuations
mankind
mighty
man
life
zenith
passion
aim
life
hope
system
valuing
qualities
suffering
suffering
race
system
type
glory
life
briefly
principle
system
proceeds
power
springs
weakness
type
figure
hope
period
thousands
years
species
sense
nothing
possibility
men
present
energies
values
author
sight
example
transvaluation
values
whole
mode
life
thought
time
system
years
effect
revolution
period
time
type
manhood
faith
hope
creation
notes
subject
author
expression
type
man
example
precursors
prerequisites
advent
type
passage
Science
order
type
regard
condition
condition
chapters
book
nameless
hard-to-understand
firstlings
future
end
means
healthiness
bolder
hitherto
soul
range
hitherto
values
desirabilities
coasts
adventures
experience
conqueror
discoverer
ideal
likewise
artist
saint
legislator
sage
scholar
devotee
prophet
non-conformist
style
thing
purpose
healthiness
way
fashion
ideal
prudent
grief
recompense
country
boundaries
one
countries
corners
ideal
hitherto
world
beautiful
strange
frightful
divine
curiosity
thirst
possession
thereof
hand
alas
nothing
outlooks
craving
conscience
consciousness
aims
hopes
man
day
amusement
ideal
strange
danger
s
ideal
spirit
abundance
power
everything
holy
divine
conception
people
measure
value
danger
ruin
abasement
relaxation
blindness
self-forgetfulness
ideal
superhuman
welfare
benevolence
example
seriousness
earth
solemnities
bearing
word
tone
look
morality
pursuit
parody
mark
fate
soul
changes
hour-hand
moves
tragedy
begins
figure
number
thoughts
work
dreams
writings
author
month
idea
things
brother
views
language
regard
conception
idea
sketch
autumn
passage
idea
work
things
formulae
philosophy
note
thought
sheet
paper
postscript
feet
men
time
day
woods
lake
rock
struck
months
inspiration
omen
form
alteration
tastes
music
composition
events
condition
production
renaissance
myself
art
hearing
mountain
resort
spring
friend
phoenix
music
lighter
brighter
plumes
theretofore
month
brother
teaching
form
mouth
notes
period
page
plan
lake
home
year
province
years
solitude
mountains
sun
knowledge
midday
serpent
eternity
lies
light
time
brethren
summer
brother
years
health
gush
recovery
once
condition
mood
prelude
health
unkind
destiny
number
experiences
friends
disappointments
friendship
institution
time
life
horror
loneliness
greatness
something
loneliness
days
friend
periods
life
youth
onwards
way
nobody
friend
form
philosopher
creation
preacher
gospel
world
brother
plan
summer
disappointments
question
beast
brother
origin
part
winter
health
winter
inn
water
night
sleep
sea
circumstances
reverse
spite
demonstration
belief
everything
decisive
life
spite
obstacle
winter
midst
circumstances
morning
direction
road
forest
pines
view
sea
afternoon
health
bay
spot
autumn
world
happiness
time
roads
type
walks
ideas
part
days
beginning
middle
lines
hour
ghost
exception
days
part
book
brother
winter
hardest
sickliest
thereby
disorders
attack
influenza
weeks
arrival
matter
fact
condition
forsakenness
expression
reception
part
hands
friends
acquaintances
copies
work
misunderstood
one
ripe
thoughts
case
clearness
brother
feebleness
response
practice
hydrate
drug
ill
influenza
spring
spring
matter
city
poet-author
choice
opposite
respect
spirit
enmity
towards
city
city
day
memento
atheist
enemy
person
end
vain
quarter
occasion
smells
room
philosopher
chamber
view
fountains
songs
time
sad
melody
refrain
words
immortality
spring
effect
heat
discouraging
circumstances
brother
case
trouble
connection
proofs
publisher
end
air
mountains
powers
note
dispatch
manuscript
place
months
forsooth
fool
courage
climate
thought
future
thing
world
deal
future
rest
gods
part
summer
place
thought
mind
part
days
part
day
mood
walks
hill
ideas
mind
note-book
return
till
midnight
letter
idea
vehemence
composition
passionate
mood
end
century
notion
poets
age
understood
word
inspiration
vestige
superstition
idea
incarnation
mouthpiece
medium
power
idea
revelation
sense
something
certainty
accuracy
matter
fact
one
one
thought
lightning
necessity
choice
matter
strain
flood
tears
s
rush
lag
feeling
hand
consciousness
number
thrills
quiverings
depth
happiness
painfullest
antitheses
sense
shades
colour
overflow
light
instinct
relations
areas
forms
length
need
rhythm
measure
force
inspiration
sort
counterpart
pressure
tension
Everything
outburst
freedom
absoluteness
power
divinity
involuntariness
figures
similes
thing
perception
figure
simile
everything
readiest
correctest
means
expression
phrases
things
similes
things
talk
flatter
thee
simile
dost
thou
truth
thee
words
word-cabinets
wanteth
words
wanteth
experience
inspiration
thousands
years
order
autumn
brother
weeks
winter
climate
powers
part
winter
halcyon
sky
time
life
end
task
year
corners
heights
landscapes
moments
