PARODY
OUTLINE
OF
HISTORY
Donald
Ogden
Stewart
Wherein
AMERICAN
HISTORICAL
EVENTS
American
GILBERT
HOLLAND
STEWART
Jr
Preface
Mr.
H.
G.
Wells
Outline
History
United
States
Americans
H.
G.
Wells
Weltanschauung
Bookman
D.
O.
S.
Contents
Critical
Survey
History
Manner
William
Lyon
Phelps
II
CRISTOFER
COLOMBO
Discovery
Manner
James
Branch
Cabell
III
MAIN
STREET
Plymouth
Mass
Manner
Sinclair
Lewis
IV
THE
COURTSHIP
OF
MILES
STANDISH
Manner
F.
Scott
Fitzgerald
V
THE
SPIRIT
OF
Minute
Manner
Ring
Lardner
VI
THE
WHISKY
REBELLION
Bedtime
Story
Manner
Thornton
W.
Burgess
VII
HOW
LOVE
CAME
TO
GENERAL
GRANT
Manner
Harold
Bell
Wright
VIII
CUSTER
LAST
STAND
Manner
Edith
Wharton
IX
THE
FREEDOM
THE
WORLD
Drama
Great
War
Act
Manner
Mary
Raymond
Shipman
Andrews
Act
Manner
Eugene
O'Neill
INTRODUCTION
A
CRITICAL
SURVEY
AMERICAN
HISTORY
Manner
William
Lyon
Phelps
Maude
Adams
Peter
Pan
Peter
Yes
Great
God
Hurrah
Childe
Roland
Woodrow
Wilson
Mr.
Wilson
White
House
Yale
History
People
Mr.
Wilson
Germany
Browning
Cristina
Browning
America
God
Browning
April
May
Robert
Browning
Ohio
Miss
Jones
Columbus
School
Girls
Pullman
Pauline
Browning
Pauline
Browning
Warren
G.
Harding
Henry
Sydnor
Harrison
Queed
Mr.
Harding
Queed
Mr.
Harding
Mr.
Harding
James
Whitcomb
Riley
Mr.
Riley
English
Mr.
Harding
Browning
Evelyn
Hope
Mrs.
Walter
Hope
Marion
Evelyn
Mr.
Harding
Mr.
Harding
Advance
English
Novel
Hero
Advance
English
Mr.
Harding
July
PROFESSOR
PHELPS
WARREN
G.
HARDING
Woodrow
Wilson
Warren
Harding
Browning
God
CRISTOFER
COLOMBO
A
Comedy
Discovery
Manner
James
Branch
Cabell
Genoa
Genoa
Cristofer
Colombo
Dreamer
Dame
Colombo
Thursday
Colombo
Colombo
Thyrston
Said
Colombo
Thyrston
WHOM
Colombo
VERYS
Tower
Thyrston
Colombo
Adams
Thyrston
Colombo
Cristofer
Colombo
Dreamer
Ckellyr
Colombo
Mrs
Thyrston
Thyrston
Colombo
Colombo
Colombo
Colombo
Thyrston
Colombo
Thyrston
Colombo
Colombo
Colombo
Thyrston
Colombo
Thyrston
Merlin
Thyrston
Which
Colombo
Colombo
Colombo
Thyrston
Walburga
Eve
King
Ferdinand
Queen
Isabel
Colombo
Colombo
Dreamer
Colombo
Progress
Literary
Club
Donna
Margarita
Omelet
Rosary
King
Ferdinand
Colombo
Genoa
Colombo
Colombo
Progress
Literary
Club
Donna
Violet
Balboa
Colombo
Colombo
Colombo
Colombo
King
Ferdinand
Colombo
Kingdom
King
Ferdinand
Ah
King
Ferdinand
Colombo
King
Ferdinand
King
Ferdinand
Spain
Colombo
Ferdinand
Colombo
King
Ferdinand
King
Colombo
King
Ferdinand
Colombo
Colombo
Inquisition
Colombo
King
Ferdinand
Colombo
Rodigruez
Babsyn
Babsyn
King
Ferdinand
Queen
Isabel
Colombo
Colombo
Colombo
WEST
Colombo
Colombo
Thursday
Thyrston
Colombo
Won't
Colombo
Thyrston
Colombo
Colombo
Colombo
King
Ferdinand
Colombo
Michaelmas
Eve
Queen
Isabel
Colombo
Impavide
Queen
Queen
Isabel
Colombo
Ferdinand
Queen
Isabel
Ferdinand
Colombo
Queen
Isabel
Colombo
Colombo
Colombo
Queen
Isabel
Queen
Isabel
Colombo
Queen
Colombo
Royal
Geographer
King
Ferdinand
King
Ferdinand
Queen
King
Father
Bernadino
University
King
Queen
Ferdinand
Queen
Colombo
King
Queen
Queen
Isabel
King
Ferdinand
Royal
Geographer
Colombo
King
Majesty
Geographer
King
Colombo
King
Ferdinand
Colombo
King
Colombo
King
God
Colombo
God
Spain
King
Queen
God
Colombo
King
Colombo
Queen
Isabel
Queen
Colombo
Dreamer
Colombo
Isabel
Father
Bernadino
Father
Bernadino
University
Colombo
Canaries
Colombo
Colombo
Colombo
Colombo
Colombo
Greeks
Helen
Helen
Colombo
Colombo
Colombo
Colombo
Colombo's
Come
Colombo
Do
Colombo
Colombo
Colombo
Colombo
Dreamer
Heaven
Colombo
Impavide
Gopher
Prairie
Colombo
Colombo
Colombo
Colombo
Colombo
Spain
Gopher
Prairie
Colombo
Spain
Land
Ho
Cristofer
Colombo
Colombo
Colombo
Beauty
Dreamer
ANALYSIS
AND
SUMMARY
THE
FOREGOING
ARTICLE
Manner
Dr.
Frank
Crane
Columbus
Columbus
Dreamer
Thomas
A.
Edison
Henry
Ford
Dreamers
Dreamers
Columbus
Shakespeare
Macbeth
Columbus
Queen
Columbus
Royal
Geographer
Geographers
MAIN
STREET
Plymouth
Mass
Manner
Sinclair
Lewis
America
Cape
Cod
Bay
Mayflower
Priscilla
Kennicott
Priscilla
Pan
Plymouth
Rock
Cape
Cod
Bay
Pride
Plymouth
Night
Kennicott
Standish
Jolly
Seventeen
Miles
Prissie
Miles
Standish
Jolly
Seventeen
Thanksgiving
Kennicott
Plymouth
Roman
Catholic
England
Kennicott
Prissie
Roman
Catholic
Bible
Right
Thinkers
Hellfire
Damnation
Committees
Kennicott
Plymouth
England
Set
Medicine
Show
Mencken
Sells
Indians
Indians
Prissie
Did
Will
Kennicott
Kennicott
Set
Wo
Indians
Priscilla
Will
Prissie
Priscilla
Smart
Set
Indians
Beauty
Beauty
Priscilla
Indians
George
George
George
Indians
Helen
Troy
Six
Minutes
Beauty
Theodore
Dreiser
Helen
Minutes
Beauty
Helen
Helen
Beethoven
Fifth
Symphony
Indians
Vomiting
Priscilla
Mencken
Plymouth
Main
Street
Straight
Puritan
Puritan
Puritan
Miles
Standish
Puritan
Morality
Plymouth
Rock
Hard
Puritan
Pan
Puritans
Puritans
Lord
Miles
Standish
Elder
Brewster
Kennicott
Henry
Haydock
Mencken
Indians
Puritan
Lord
Old
Lord
Mencken
Puritans
Puritan
Puritans
Priscilla
Kennicott
God
Correct
Thought
Professor
Doctor
Miles
Standish
Puritan
Hearse-hound
Professor
Doctor
Elder
Brewster
Plymouth
Dr.
Frank
Crane
Poor
William
Elder
Brewster
William
Miles
Standish
Heaven
Priscilla
Jew
Methuselah
Jew
Old
Priscilla
Priscilla
Priscilla
Kennicott
Puritan-tainted
Plymouth
Gopher
Prairie
Main
Street
Gopher
Prairie
Heavenly
Harp
Trumpet
Mrs.
Priscilla
Kennicott
Tuesday
Earth
Mrs.
K.
Ye
Editor
Gopher
Prairie
Minn.
Carol
Kennicott
Harp
Trumpet
Gopher
Prairie
Heaven
Celestial
Browning
Club
Brother
Robert
Browning
Pippa
Passes
God
United
States
Gene
Stratton-Porter
Zane
Grey
Harold
Bell
Wright
United
States
Applause
Brother
Voltaire
Brother
Voltaire
Brother
Voltaire
United
States
Main
Street
Celestial
Browning
Club
Brother
Voltaire
Priscilla
Kennicott
COURTSHIP
OF
MILES
STANDISH
Manner
F.
Scott
Fitzgerald
Puritan
New
England
Plymouth
Mayflower
Holland
Right
Thinkers
Gentlemen
God
Priscilla
Priscilla
June
Oh
Quick
Southern
Pacific
Priscilla
Homer
Ben
Johnson
Dr.
Faustus
Paradise
Lost
Beethoven
Helen
Troy
Cleopatra
Nile
Ironist
Mayflower
Priscilla
Mayflower
Plymouth
Puritan
Mrs.
Brewster
Mrs.
Bradford
Priscilla
FUNNIEST
Mrs.
Brewster
Priscilla
New
England
Tremont
Street
Boston
Educator
S.
S.
Pierce
HEARSE
Mrs.
Brewster
Gordon
Longfellow
Lowell
Ralph
Waldo
Emerson
James
Missouri
Postum
Atlantic
Monthly
Boston
God
Newton
Centre
Susan
Hale
Edward
Everett
Hale
Donald
Ogden
Stewart
MRS.
BREWSTER
Plymouth
June
MRS.
BREWSTER
Foxe
Book
Martyrs
MRS.
BREWSTER
MRS.
BREWSTER
Come
Enter
CAPTAIN
MIKES
STANDISH
Indians
Miles
PRISCILLA'S
MRS.
BREWSTER
Captain
Standish
