HIGH
Head-quarters
Irresistible
Force
Post
Black
Carnival
Death
Mairie
Haagedoorne
Mayor
Peace
Q.
Divisional
Head-quarters
Staff
Officers
Mairie
Haage-
Dutch
English
Hessians
Sat
Colonel
Birchin
War
Divisional
Staff
Stephen
Doughty
Dormer
Chief
Colonel
Dormer
Colonel
French
Dormer
Voltaire
Hugo
European
War
War
French
Q.
Chief
Esquinte
une
Esquinte
Cassell
Dictionary
Knock
Dormer
May
Come
Dormer
Thursday
Q
English
Trench
Mortar
Battery
T.M.B
Q
Were
Q
Q
Q
F
Q
Q
Did
Mairie
Honde-
Nord
Mr.
Vanderlynden
Swingadow
Achille
Mayor
Chief
Dormer
Vanderlynden
Pretty
Grand
Quartier
General
English
General
Head-quarters
Sergeant
London
Archi-
Corps
Area
Hondebecq
Sergeant
Dormer
Dormer
Martial
Well
Corps
Divisional
Head-quarters
Dormer
Dormer
War
Staff
O
Monsieur
Corporal
Dormer
Dormer
Ambulance
Flemish
Armstrong
Brigade
Transport
Armstrong
Orderly
Room
Outside
Holland
Flanders
War
Brigade
S
AT
V
ANDERLYNDEN
S
Medical
Officer
Base
Q.
Divisional
H.Q
Forward
Areas
A.P.M
Division
Colonel
Birchin
Dormer
Yanderlynden
Colonel
Birchin
Q.
Stevenage
Maire
Hondebecq
Communal
Secretary
Blanquart
Shrewd
Dormer
Hondebecq
Flanders
English
Estaminet
Mairie
Blanquart
Com-
munal
Secretary
Heaven
Commune
Dunkirk
Lille
Estaminet
State
France
Army
Bonjour
Blanquart
War
English
Dormer
Vander-
Blanquart
Mayor
Blanquart
Mayor
Blanquart
Mayor
Beadledom
Garde
Champetre
Vanderlynden
II
Monsieur
Maire
Dormer
Dormer
Dormer
Achille
Achille
Quaghebeur
Garde
Champetre
Maire
Madame
Angot
Achille
A.S.C
OATS
Maire
Major
Maire
Dormer
Major
Blanquart
Major
A.P.M
Aisne
Bailleul
Vanderlynden
Dormer
Madeleine
Major
<
<
>
>
Dormer
Government
Government
Vanderlynden
Dormer
Vanderlynden
War
Flemish
Dormer
Belgian
English
Dormer
Saagte
'patron
Hoi
Vanderlynden
Dormer
Army
English
Vanderlynden
Patron
Dormer
Mademoiselle
Dormer
Vanderlynden
Mademoiselle
Dormer
Yanderlynden
Belgians
Dormer
Major
War
Watten
Madeleine
Vanderlynden
A.P.M
A.P.M
Hermes
-pave
A.P.M
A.P.M
Army
Sergeant
France
Flanders
A.P.M
Dormer
A.P.M
Dormer
A.P.M
Corps
Dormer
Blanquart
Maire
Thank
Hondebecq
Mairie
Grand
Place
A.P.M
Dormer
Estaminet
Dormer
Maire
Secretary
Maire
France
Grand
Place
North
Sea
Holland
A.P.M
Dormer
Blanquart
A.P.M
Charcuterie
Baked-meat
Quincaillerie
Hardware
Dormer
Walloon
Germans
English
Bonjour
Maire
Secretary
English
Dormer
M.
Blanquart
M.
Blanquart
Vanderlynden
Lion
Flanders
A.P.M
Vander
Blanquart
Ah
Monsieur
St.
Omer
A.P.M
Estaminet
Mairie
Dormer
M.
Blanquart
Secretary
Mairie
Dormer
A.P.M
English
Dormer
Are
A.P.M
Cafd-Restaurant
Lion
Flanders
Grand
Place
Patronne
A.P.M
Dormer
Dormer
Mademoiselle
Vanderlynden
Dormer
Are
A.P.M
Ah
A.P.M
English
Dormer
Major
A.P.M
A.P.M
Dormer
War
Flemish
A.P.M
Wonder
A.P.M
Q
Mademoiselle
Vanderlynden
Chicken
Excellent
Ah
English
Dormer
Always
A.P.M
Ingoldsby
Legends
Germans
Hospital
Tommy
A.P.M
Dormer
Run
M
Fuze
Lieutenant
Tregooze
Sir
Carnaby
Jenks
Blues
Magpie
Stump
A.P.M
Mademoiselle
Vanderlynden
Madam
Gad
A.P.M
Mademoiselle
A.P.M
Dormer
Mademoiselle
Vanderlyn-
Stop
Mademoiselle
Vanderlynden
Nearer
Dormer
War
Dormer
Mademoiselle
Vanderlynden
Vanderlynden
Army
Mademoiselle
Marie
Bienheure-
Benoit
Vanderl
Marthe
Juin
A.P.M
Virgin
Ah
Dormer
English
Hampshire
Mademoiselle
Dormer
French
A.P.M.
War
Et
Mother
Captain
Dormer
Comprenez
Mademoiselle
Au
Dormer
B
Dormer
English
French
Mademoiselle
Vanderlynden
A.P.M
Dormer
April
Did
Mortar
Battery
Hell
Dormer
Mademoiselle
AT
V
ANDERLYNDEN
S
Maire
Maire
Maire
Maire
Maire
Ces
Bosche
Maire
Ah
Maire
Maire
Maire
Ah
Mademoiselle
Is
Am
Maire
Ah
Old
Hindenburg
Dormer
Maire
Marshal
Hindenburg
Bosche
Spy
Mademoiselle
Dormer
Whitfield
No
Military
Medal
War-time
Maire
Mademoiselle
War
*
Nobby
Nobby
Thank
Mademoiselle
Mademoiselle
Vanderlynden
Divisional
Head-quarters
Town
Hall
A.P.M
Hullo
Dormer
No
A.P.M
Quartermaster-
Sergeant
Corps
War
Vanderlyndens
Mayor
Mission
Heaven
Boulogne
*
Dormer
Accus-
Dormer
No-Man
Nature
Germans
Dormer
Kavanagh
Dormer
Irishman
Dormer
S.F.T
R
Dormer
Fill
Dormer
Dormer
Z
Will
Dormer
Dormer
Dormer
Did
Kavanagh
Colonel
Fix
Frenchmen
Dormer
Colonel
Dormer
Chaos
Immortality
Graves
Com-
Immortality
Titans
Dormer
Twelve
Twelve
Infantry
Dormer
Dormer
War
Dormer
War
Dormer
Ah
Were
Was
Hooge
Don
Great
Trench
Mortar
Battery
Dormer
Catholic
Dormer
*
Bosche
Kavanagh
Dormer
War
Dormer
M.O
Kavanagh
Dormer
Qui
Picard
Qui
Sed
Latin
Julius
Caesar
Jones
Minor
Pure
Dormer
Dormer
Somme
Dormer
Brigade
Nth
Div
Ack
Dormer
Civilization
Civilization
Barbarism
Lift
War
Army
Corps
Thank
Dormer
War
Dormer
Middle
Ages
Kavanagh
Dormer
Kavanagh
Dormer
Pipe-claying
F
War
Dormer
France
Russia
England
Germany
Dormer
Socialist
Dormer
Peninsula
Dormer
Sam
Browne
Brigade
Thursday
Hell
Bosche
Kavanagh
War
Right
Wrong
Don
Dormer
Germans
Kavanagh
Come
Dormer
Kavanagh
*
Somme
S.F.T
S
Dormer
Football
Boxing
Divisional
Area
Head-
Colonel
Germans
War
Divisional
N.C.O
N.C.O
North
America
Dormer
European
War
Russians
Italians
Mairie
Q.
Colonel
Colonel
Dormer
Divisional
Corps
Army
Mission
Base
Authority
La
Vierge
Bad
Ah
Major
Stevenage
Mission
Dormer
Mission
Flan
Dormer
Army
Head-quarters
Divisional
French
Liaison
Officer
French
Liaison
Officer
Division
Liaison
Officer
Dormer
Dormer
Dormer
Dormer
System
D
Deirouillez
Don
Dormer
Chief
Army
Head-
Colonel
Lepage
Dormer
French-
Dormer
Flan
Louches
Mission
Dormer
Picard
Brittany
Bordeaux
Riviera
Maire
Mess
Dendrecourt
Captain
Dormer
Army
Colonel
Lepage
Dormer
Sit
Id
Vanderlynde
/
Dendre-
Colonel
Dormer
*
La
Vierge
Mademoiselle
Vander-
Dormer
Colonel
Lepage
Dormer
Foreign
Offices
Dormer
Colonel
Lepage
Mess
Colonel
Vierge
French
War
Office
Dormer
Colonel
English
Cock
English
Easter
Bertezeele
Religious
Festival
Leders-cappell
Mayor
Commune
General
Dormer
Flan
Dendrecourt
Colonel
Dormer
Colonel
*
Pan
Dendre-
France
Dormer
England
France
Dormer
Dendrecourt
France
Mayor
Frenchman
Mayor
Hondebecq
Dendrecourt
England
Mayor
Dormer
Dormer
Colonel
Lepage
Colonel
Birchin
Division
Kavanagh
January
Doullens
Colonel
White
Arras
Bosche
Inside
Q.
Dormer
Colonel
Army
Head-quarters
Corps
Corps
Division
Vanderlynden
Minister
War
Louches
Army
Head-
Dendrecourt
French
War
Minister
Whitehall
Salonika
Mespot
Strafe
Corps
Department
Dormer
Colonel
Trench
Mortar
Battery
Dormer
Wouldn
Trench
Mortar
Battery
Division
Corps
Colonel
Birchin
Staff
Dormer
War
Corps
Trench
Mortar
Battery
Trench
Mortar
School
Bertezeele
Dormer
Doullens
Doullens
Abbeville
Etaples
Boulogne
English
Marquise
Calais
Somme
English
St.
Omer
S.F.T
T
Dormer
R.T.O.
Don
Dormer
Bailleul
Arras
Officers
Rest
House
Bertezeele
Trench
Mortar
School
Trench
Mortar
School
Bertezeele
English
Army
List
Dormer
War
Appar-
Germans
Stokes
War
Tin
Cromwell
Coeur
Lion
Saladin
Kavanagh
Pickwick
Papers
Saturday
Kavanagh
Battery
Corps
Officer
English
Officer
School
Colonel
Burgess
Dormer
Divisional
Head-
Dormer
Dormer
Dormer
Officer
Mortar
Battery
Scotch
Sergeant
T.M.B
Colonel
Mess
Dormer
Dormer
Civil
Service
Commission
Mortars
Dormer
April
Egypt
Sands
N.C.O
N.C.O
Base
Sick
Parade
Dormer
Q.
Mission
Divisional
Court
Inquiry
Dormer
Chirnside
Chirnside
Dormer
Chirnside
Corps
Dormer
Colonel
Burgess
Bailleul
Colonel
Colonel
Empire
Sandhurst
India
Egypt
Eastbourne
Dormer
Colonel
India
Egypt
Eastbourne
Flanders
European
War
Colonel
Dormer
Yser
Lys
Northward
Poperinghe
Dunkirk
East
Southward
Bailleul
Lille
Westward
Cassel
Colonel
Bailleul
Colonel
Said
Had
Come
Mess
Dormer
Colonel
Mess
Colonel
Kavanagh
Colonel
Birchin
Officer
T.M.B.and
State
Mission
War
Colonel
Division
School
Colonel
Army
Wellington
Dormer
Colonel
Birchin
Major
Stevenage
Colonel
G.H.Q
Mess
Dormer
Bailleul
Colonel
War
Court
Inquiry
Dormer
Gentlemen
Punch
Judy
Proscenium
Dormer
Punch
Judy
Mayor
Hondebecq
Scotch
Madeleine
Vanderlynden
O.C
T.M.B
Mayor
Dormer
Jury
Dormer
Jack
Ketch
Act
Nobby
Me
Devil
Colonel
O.C
T.M.B
Dormer
Dormer
Trench
Mortar
School
War
Boulogne
Picard
Nobby
Vanderlynden
O.C
T.M.B
Mayor
Honde-
Dormer
Jack
Ketch
Justice
Law
Order
Punch
Judy
Devil
Dendrecourt
Devil
Etaples
Abbeville
Expeditionary
Force
Army
War
Doullens
Vanderlynden
Dormer
Division
War
Dormer
Allies
Home
Training
France
Q.
Divisional
Staff
War
Somme
Dormer
Colonel
Birchin
Authun
Colonel
Echelon
Chirnside
Very
Infantry
Brigade
Lumbres
Vanderlynden
Dormer
Army
France
Chirnside
Vanderlynden
England
War
Nobby
Vanderlynden
France
North
Ireland
Catholics
Ireland
B
N.C.O
Division
Dormer
N.C.O
C
N.C.O
Division
Captain
Dormer
H.Q
Nth
Division
Division
Colonel
Birchin
Division
War
February
Ah
Divisional
Head-quarters
Never
N.C.O
Doullens
War
Choral
Society
Vestry
Trust
Picard
Bernaville
Divisional
H.Q
Armstrong
*
*
Division
Schools
Hence
General
Brigade
English
G.
Divi-
A.P.M.
Liaison
Officer
Interpreter
Interpreter
C.R.A
Corps
Corps
Divisional
Head-quarters
G.
A.P.M
Mission
Q.
Dormer
G.
Dormer
Dunkirk
Amiens
Bomb-
Instructor
War
Army
Musketry
Dormer
Vanderlynden
Blank
N.C.O
Dormer
Germans
Post
Office
Mask
Dormer
North
Sea
Nature
Football
Season
Division
Arras
Dormer
Dormer
Germans
Mud
Bosche
Astonishment
Dormer
Vanderlynden
Division
Bethune
Colonel
Birchin
Dormer
Rheims
Dormer
France
France
Far
English
Army
Creil
Paris
Paris
Switzerland
Calais
Bale
Army
English
Kitchener
Armies
Lumme
R.T.O
A.P.M
P
England
Commandant
Flanders
Corps
Dormer
Dormer
Chirnside
Commandant
Dormer
Mess
Dormer
War
Commandant
Major
Bone
Dormer
Major
Dormer
Major
Ay
Epernay
Major
Peace
Chastity
Spirit
Air
Dormer
Major
Salamander
Mess
Major
Doctor
Ordnance
Officer
Chirn-
Dormer
War
Dormer
Chirnside
Qa
Chirnside
Dormer
Major
Major
India
Egypt
Kensington
Windsor
Dormer
Doctor
Ordnance
Officer
Chirnside
April
Chirnside
Dormer
Base
T.M.B.
Dormer
Army-
Chirnside
Chirnside
Scotch
Dormer
Fairfield
Fairfield
Trench
Mortars
Base
Andrews
Gunner
Mayor
Aye
Tattie
Bogle
Guy
Andrews
Commissioned
Lucky
Couldn
Didn
War
Dormer
Division
Major
Oh
Ah
No
So-and-so
Army
Dormer
Professional
Army
God
King
Europe
Commissioned
Army
Chirnside
Dormer
Dormer
Chirnside
War
Dormer
Warm
War
Major
Chirnside
Above
Reassured
Bone
Black
Africans
Africa
Madame
Dormer
Dormer
Mess
Doctor
Ordnance
Officer
General
Bone
French
Dormer
Allied
Whence
War
Mons
March
April
Germans
Russians
War
Major
Bone
War
Vanderlynden
Army
Corps
Army
Corps
Browner
Biscayan
Mediterranean
Mayor
Frerfch
English
English
Frenchman
Frenchman
Mayor
Priest
Garde
ChampStre
Suisse
Parliament
Vanderlynden
T.M.B
England
Dormer
Russia
Messines
War
Dormer
Somme
Generals
Dormer
London
Scotch
Colonial
London
Dormer
Dormer
Divisional
Offices
Messes
Y
Rhine
Somme
Vimy
Messines
Rhine
Dormer
Dormer
Belgium
Flanders
Corps
Corps
Services
Services
Dormer
Salient
Kavanagh
War
Germans
Kavanagh
Somme
Dormer
N.C.O
Whose
Duty
War
Blighty
United
States
Dormer
War
Minerva
Mercury
Goddess
God
Mercury
God
Communications
Mercury
Dormer
War
Wisdom
Light
Dormer
Dormer
Kavanagh
Punctual
English
Argentine
English
Grande
Vitesse
Come
Devil
Krupp
Dormer
Officer
Chinese
Zulu
West
Indian
Egyptian
Germans
Portuguese
Monkey
House
English
Dormer
Corps
H.Q
Belgians
Americans
Chinese
Africans
Indians
East
West
Dormer
Colour
Bar
Z
Fate
Bosche
Germans
Rhine
Anatole
France
Dormer
May
Dormer
Divisional
Head-quarters
Andrews
Colonel
Birchin
A.D.M.S
A.D.M.S
Doctoring
Beside
Colonel
Birchin
Dormer
Mairie
Dormer
Colonel
Birchin
Colonel
Unmilitary
Colonel
Alsace
Tripoli
France
Colonel
Birchin
Watch
Stuart
Colonel
Birchin
Herefordshire
Regiment
King
Colonel
Birchin
Africa
India
France
King
King
Own
Herefordshire
Regiment
King
Ignorant
War
A.D.M.S
Forward
Dressing
Stations
Doctor
Dormer
Dormer
Dormer
Colonel
Birchin
Andrews
Dormer
Andrews
Boulogne
Corps
Dormer
Vauxhall
Dormer
Major
Stevenage
Boulogne
Germans
London
Bank
Holiday
Dormer
War
St.
Omer
Air
Force
Dormer
War
