SEA
THE
JUNGLE
November
London
London
June
Skipper
Skipper
December
January
November
London
Hakluyt
Americas
Amazon
Orinoco
Barbados
Panama
Port
Royal
Moses
Statesmen
London
Regent
Street
Had
Skipper
Schedule
Skipper
Fleet
Street
Amazon
Para
Manaos
Madeira
Bolivia
Obydos
Santarem
Humboldt
Bates
Spruce
Wallace
Skipper
Poo
Fleet
Street
Ludgate
Circus
Putney
Hakluyt
John
Hawkins
Jesus
Lubeck
Solomon
Tiger
Swalow
Plinmouth
October
Lord
Master
John
Hawkins
Putney
Bates
John
Hawkins
Bates
England
Amazon
Liverpool
Mr.
Wallace
April
Channel
May
Salinas
St.
Januarius
Welsh
O
Liberty
Open
Road
Paddington
Station
Welsh
Outside
London
Saxon
Hughes
Open
Road
Swansea
High
Street
Indians
Swansea
Brazils
Could
Buenos
Aires
Plate
Amazonas
Swansea
Swansea
Railway
Had
God
Gilead
S.S.
Capella
Fleet
Street
Laus
Deo
Capella
Glascow
Sheffield
Skipper
Board
Trade
Elizabethan
Capella
Am
Capella
Me
Forest
Unexplored
Coal
Swansea
O
Boys
Carnival
Capella
Capella
Skipper
Skipper
Purser
December
Sunday
Aurora
Lundy
Hartland
Mumbles
Capella
Capella
Chief
Chief
Lundy
Skipper
Cape
Hatteras
Lundy
Bay
Biscay
Para
Chief
Chief
Lloyd
George
Chief
God
Mr.
Lloyd
George
Lord
George
Plimsoll
Jack
Chief
Chief
Ah
God
Capella
Lundy
Rat
Island
Lundy
Night
Lundy
Forest
Gate
Forest
Gate
Hartland
London
Stratford
Forest
Gate
Chief
Saint
Anthony
Capella
October
Was
London
Omnipotence
Cornwall
Omnipotence
Number
Swansea
Had
Swansea
Para
Englishman
Continental
Capella
Bates
Old
Man
Chief
Doctor
Purser
Chief
Chief
Old
Chief
Chief
Chief
Mumbles
S.W
Doctor
Shaw
Brazilian
Doctor
O
Chief
Bristol
Channel
Capella
Capella
Capella
Capella
Swansea
Atlantic
Capella
Capella
Skipper
Capella
Capella
Chief
Sussex
Capella
Capella
Skipper
Itacoatiara
Amazon
Skipper
Skipper
Doctor
Skipper
Purser
Doctor
German
Capella
Doctor
Doctor
Mate
Mate
Heard
Said
Mate
Te-he
Captain
Mate
Tinker
Skipper
Skipper
Doctor
Tinker
Purser
Skipper
Para
Skipper
Para
Newfoundland
Lizzie
Polwith
Falmouth
Cadiz
Tregenna
Tregenna
Couldn
Cadiz
January
Tregenna
St.
Johns
Tregenna
April
Jonah
Lizzie
Don
Para
Wait
Shut
Go
Skipper
Doctor
Come
December
Awoke
Jonah
Noon
Lat
N.
Long
Bad
Wind
Night
Chief
Great
Bear
Polaris
Skipper
Chief
Sue
Skipper
Doctor
Henry
James
Bhagavad-Gita
December
April
Chips
Chips
Victoria
Cross
Germans
Dutchmen
Scandinavians
Portuguese
Country
Chips
Chips
Chips
Siege
Alexandria
Chips
Doctor
Chips
Chips
Chips
Victoria
Cross
Doctor
Doctor
Chips
Cross
Chips
Royal
Ancient
Order
Buffaloes
South
Devon
Chief
Got
Chief
Swansea
Jack
Joy
Bells
Young
Christians
November
Purser
Joy
Bells
Infant
Methodists
Swansea
Society
Succor
Seamen
Caxton
Hall
Westminster
February
Caxton
Hall
English
English
English
Let
Chief
Swansea
Pyrrhonism
Society
Intelligence
Manners
Leisured
Folk
Monumental
Mason
Aberdeen
Morphology
Cryptogamia
Fingered
Jack
Antilles
Robert
Elsmere
Henry
James
Great
Premier
Three
Fingered
Jack
Capella
Skipper
Skipper
South
Atlantic
Sailing
Directions
Christmas
Eve
Sirius
Christmas
Chief
Chief
Doctor
Chief
Skipper
Tinker
Skipper
Skipper
Welsh
Woe
Chief
Chief
Chief
Skipper
Chief
Doctor
Chief
Chief
Christmas
Eve
Skipper
Hollands
Vhere
Vhere
Tinker
Skipper
Ah
Doctor
Rio
Cape
Town
Father
Said
Essex
All
Pyrrhonist
Mother
Cary
Chief
Skipper
Fate
Skipper
Sphinx
Christmas
Chief
Doctor
Don
Samuel
Plimsoll
Lord
Hong
Kong
Samuel
Plimsoll
Day
Lat
N.
W.
Light
S.W
Vessel
Thoreau
Zanzibar
Arctic
Arctic
Warburton
Pikes
Barren
Grounds
Musk-ox
Atlantic
April
English
Christmas
Chief
Chief
Sandy
Christmas
Sandy
Madeira
July
Mumbles
Swansea
Donkey
Donkey
Donkey
Britisher
Clean
Donkey
Irishman
Donkey
Chief
Chief
Donkey
Teutonic
Olsen
Dutchman
Christmas
Christmas
Capella
Christmas
Sunday
Doctor
Me
London
England
History
Doctor
Crisis
Fortunate
Isles
England
God
Chips
Cornwall
Doctor
Chips
Chips
Distance
Fine
Glass
Asia
Doctor
Chief
Skipper
Shadwell
Hesperides
August
Night
Argonauts
Familiarity
Capella
Doctor
Chief
Forward
Milky
Way
London
London
Splendid
Orion
Pleiades
Sandy
Sandy
Ah
Abertawe
Cardiff
Jack
Driscoll
Jack
Driscoll
Cardiff
Cardiff
Welsh
Jack
Jack
Jack
Jack
Jack
Jack
Jack
Welsh
Jack
Jack
Sailor
West
Coast
Chili
Jack
Abertawe
Barry
Buenos
Aires
Jack
Sunday
Jack
Cardiff
Welsh
Barry
Barry
Barry
Jack
Jack
Tell
Jack
Jack
Jack
Jack
Jack
Jack
Hi
Jack
Jack
East
Amsterdam
Jack
Jack
Barry
Cardiff
Jack
Thought
Skipper
Jack
Skipper
Mr.
Brown
Great
Station
Cardiff
Jack
Cardiff
Jack
Jack
London
Aladdin
Mile
End
Road
Jack
Jack
Jack
Jack
Jack
Jack
Jack
Jack
Cardiff
Jack
Jack
Come
Jack
Driscoll
Jack
East
Jack
Jack
Jack
Jack
Annie
December
Lat
N.
W.
Course
S.W
God
Capella
Aurora
Sea
God
Skipper
Capella
Chief
Englishman
Ah
Capella
Capella
Milky
Way
Canary
Hesperides
Capella
Tinker
Capella
Skipper
Doctor
Doctor
Capella
Skipper
Providence
Providence
Capella
Senegambia
Trinidad
Decr._
A
Wind
Sandy
Milky
Way
Venus
Sundays
Chief
Decr._
Tinker
Old
Donkey
N.
W.
New
Year
East
India
Dock
Road
London
Town
Polaris
Jan._
Straight
Doctor
Welshman
Capella
Come
Birdie
Come
Monte
Videan
Doctor
Jan._
Sandy
Sandy
Sandy
Sandy
Sandy
