Descartes
Johnny-Iook-in-the-air
Greeks
Chamfort
Max
Stirner
Seven
Arts
APOLOGY
Life
Barmecide
Arabian
Nights
Jack
Seven
Arts
Stendhal
George
Moore
Nietzsche
/iis
Zola
English
Pascal
Walt
Whitman
Thackeray
Hennequin
English
John
M.
Robertson
Apologia
Charles
Baudelaire
Joseph
Howard
Jr.
Benvenuto
Cellini
Leslie
Stephen
Pepys
APOLOGY
Buf-
Shakespeare
Auto
Leslie
Stephen
Spectre
Brocken
Petronius
Sue
Dame
Quickly
Jus
Shallow
Hamlet
Lear
Mediocrity
Didn
Mirabeau
Mon
Dieu
William
Jennings
Bryan
England
Europe
Eternal
Snob
Max
Beerbohm
Bovarysme
Snobs
Jules
Gaultier
Eternal
Camouflage
Everlasting
Mas
Evolution
Young
France
Henri
Berg-
M.
Gaultier
America
Latin
APOLOGY
Carlyle
Number
Ah
Bovarysme
Paul
Pry
Be
Be
Con
STEEPLEJACK
Philadelphia
Rome
Philadelphia
Come
Cythera
Camden
Pray
Wise
Mother
Church
Confession
Edgar
Allan
Poe
St.
Augus
Huysmans
Frenchman
OLD
PHILADELPHIA
BORN
Let
Aquarius
David
Copperfield
Irish
Mother
Weismann
War
Union
Chestnut
Street
Independence
Hall
Richmond
Dickens
Richmond
President
Lincoln
Philadelphia
Tory
Revolution
Chestnut
Street
Torches
Gibbons
Chestnut
General
Han
George
Wash
United
States
Abraham
Lincoln
Inde
Hall
April
Shakespeare
Daily
Ledger
Stendhal
Henry
Beyle
J
Baudelaire
Frenchman
North
Seventh
Street
Master
Jefferson
Sunday
May
Schuylkill
River
Kansas
Whirlwind
Midnight
Philadelphia
Camden
August
Hazen
Tornado
War
Seventh
Street
Franco-
Prussian
War
France
French
Centennial
Exposition
Celtic
John
Huneker
John
Hun-
St.
Mary
Roman
Catholic
Church
South
Fourth
Street
Huneker
Philada.
December
St.
Mary
Church
Mr.
Ansan
Huneker
Or
St.
Mary
Vale
Cross
Roscoe
Richard
Strauss
Schoenberg
Stravinsky
Sydney
Dobell
New
York
Boston
Chicago
Market
Street
Rubicon
Pyrenees
Truth
Error
Man
Land
New
York
Boston
Philadelphia
Neck
Neck
Hog
Island
Produce
Chopin
Verlaine
Martin
I.
J.
Griffin
